num_floor,unit_per_floor,price,age,statuse,view,doc_status,north,sought,west,east,floor,area,num_sleep,tel,kitch,service,floor_covering,open,parking,warehouse,balcony,equipment,address_encoded,room_to_area
5.0,4,110389610.3896104,13.0,6,22.0,10.0,1.0,0.0,0.0,0.0,2.0,77.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,16,90276736.79716071,0.025974025974025976
5.0,4,86428571.42857143,14.0,6,22.0,10.0,1.0,0.0,0.0,0.0,3.0,70.0,2.0,1.0,50.0,15.0,8.0,1.0,1.0,1.0,0.0,16,105751044.75779854,0.02857142857142857
4.0,1,77500000.0,12.0,6,22.0,3.0,1.0,0.0,0.0,0.0,3.0,40.0,1.0,1.0,50.0,5.0,10.0,1.0,0.0,0.0,0.0,5,108955839.42167248,0.025
5.0,1,120000000.0,17.0,6,22.0,10.0,0.0,1.0,0.0,0.0,1.0,150.0,3.0,1.0,50.0,15.0,8.0,1.0,1.0,1.0,0.0,26,105751044.75779854,0.02
7.0,1,78488372.09302326,6.0,8,22.0,10.0,0.0,1.0,0.0,0.0,2.0,150.0,3.0,1.0,50.0,15.0,8.0,1.0,0.0,0.0,1.0,21,105751044.75779854,0.02
3.0,4,61206896.551724136,18.0,8,10.0,10.0,0.0,1.0,0.0,0.0,2.0,58.0,1.0,1.0,50.0,5.0,10.0,1.0,0.0,1.0,1.0,3,88768761.55307986,0.017241379310344827
5.0,3,136792452.8301887,6.0,6,22.0,10.0,0.0,1.0,0.0,0.0,1.0,106.0,2.0,1.0,60.0,15.0,8.0,1.0,1.0,1.0,0.0,17,138137584.84661886,0.018867924528301886
4.0,2,71739130.43478261,23.0,6,22.0,10.0,0.0,1.0,0.0,0.0,1.0,92.0,2.0,1.0,50.0,5.0,10.0,1.0,0.0,1.0,1.0,3,105751044.75779854,0.021739130434782608
4.0,6,75000000.0,19.0,6,22.0,10.0,1.0,0.0,0.0,0.0,3.0,64.0,2.0,1.0,50.0,5.0,10.0,0.0,0.0,1.0,0.0,18,66641655.6314843,0.03125
5.0,2,136363636.36363637,6.0,8,22.0,10.0,1.0,0.0,0.0,0.0,3.0,132.0,3.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,0.0,13,108955839.42167248,0.022727272727272728
4.0,2,49090909.09090909,14.0,6,22.0,3.0,0.0,0.0,1.0,1.0,3.0,55.0,1.0,0.0,50.0,5.0,10.0,1.0,0.0,1.0,1.0,3,45170175.37193248,0.01818181818181818
5.0,3,89166666.66666667,15.0,6,22.0,10.0,0.0,1.0,0.0,0.0,4.0,60.0,1.0,1.0,50.0,5.0,10.0,1.0,0.0,1.0,1.0,17,105751044.75779854,0.016666666666666666
7.0,4,131460674.15730338,8.0,6,22.0,10.0,1.0,0.0,0.0,0.0,6.0,89.0,1.0,0.0,50.0,15.0,8.0,1.0,1.0,1.0,1.0,10,108955839.42167248,0.011235955056179775
5.0,4,100000000.0,19.0,6,22.0,10.0,1.0,0.0,0.0,0.0,3.0,50.0,1.0,1.0,60.0,5.0,15.0,1.0,1.0,1.0,1.0,15,79625558.00754656,0.02
5.0,3,125000000.0,15.0,6,22.0,10.0,0.0,1.0,0.0,0.0,4.0,54.0,2.0,1.0,50.0,15.0,10.0,1.0,0.0,1.0,1.0,16,105751044.75779854,0.037037037037037035
5.0,4,100000000.0,20.0,8,22.0,10.0,0.0,1.0,0.0,0.0,1.0,66.0,2.0,1.0,50.0,5.0,10.0,1.0,0.0,1.0,1.0,16,105751044.75779854,0.030303030303030304
15.0,12,130841121.4953271,0.0,8,21.0,7.0,1.0,0.0,0.0,0.0,11.0,107.0,2.0,0.0,0.0,15.0,10.0,0.0,1.0,1.0,1.0,13,103064918.83949274,0.018691588785046728
5.0,1,114000000.0,0.0,8,22.0,10.0,1.0,0.0,0.0,0.0,5.0,125.0,3.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,18,79625558.00754656,0.024
5.0,1,107142857.14285715,23.0,6,22.0,10.0,0.0,1.0,0.0,0.0,5.0,70.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,0.0,16,105751044.75779854,0.02857142857142857
4.0,2,87179487.17948718,20.0,6,22.0,10.0,1.0,0.0,0.0,0.0,4.0,78.0,2.0,1.0,50.0,5.0,15.0,1.0,0.0,1.0,0.0,6,105751044.75779854,0.02564102564102564
5.0,2,118072289.15662651,7.0,6,22.0,10.0,0.0,1.0,0.0,0.0,1.0,83.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,24,114303344.17128763,0.024096385542168676
5.0,2,74489795.91836734,8.0,6,22.0,10.0,0.0,1.0,0.0,0.0,2.0,98.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,17,79625558.00754656,0.02040816326530612
4.0,2,140000000.0,8.0,6,22.0,10.0,1.0,0.0,0.0,0.0,2.0,68.0,2.0,1.0,60.0,15.0,8.0,1.0,1.0,1.0,1.0,16,130949091.36171271,0.029411764705882353
18.0,10,115000000.0,5.0,6,10.0,7.0,0.0,1.0,1.0,0.0,16.0,100.0,2.0,1.0,,15.0,10.0,1.0,1.0,1.0,1.0,13,103064918.83949274,0.02
5.0,2,127717391.30434783,30.0,6,22.0,10.0,0.0,1.0,0.0,0.0,4.0,92.0,2.0,1.0,50.0,5.0,10.0,1.0,1.0,1.0,1.0,16,121218915.77181348,0.021739130434782608
5.0,2,120000000.0,18.0,6,22.0,10.0,1.0,0.0,0.0,0.0,1.0,100.0,2.0,1.0,50.0,15.0,10.0,1.0,0.0,1.0,1.0,21,130949091.36171271,0.02
5.0,2,81081081.08108108,9.0,8,22.0,10.0,1.0,0.0,0.0,0.0,1.0,74.0,2.0,1.0,50.0,15.0,8.0,1.0,0.0,1.0,1.0,16,79625558.00754656,0.02702702702702703
5.0,1,140000000.0,1.0,8,22.0,10.0,1.0,0.0,0.0,1.0,4.0,150.0,3.0,1.0,0.0,15.0,8.0,1.0,1.0,1.0,1.0,13,138137584.84661886,0.02
5.0,1,132231404.95867768,8.0,6,22.0,10.0,1.0,0.0,0.0,0.0,5.0,121.0,2.0,1.0,50.0,15.0,8.0,1.0,1.0,1.0,0.0,13,108955839.42167248,0.01652892561983471
